"country","department","municipality","scale","COD","year","malaria_pVivax","malaria_pFalci"
"Venezuela","Bolivar/CEDEÑO","GUANIAMO","parroquia","VE070204",2000,0,0
"Venezuela","Bolivar/RAUL LEONI","BARCELONETA","parroquia","VE070702",2000,1211,638
"Venezuela","Bolivar/CEDEÑO","PIJIGUAOS","parroquia","VE070206",2000,0,0
"Venezuela","Bolivar/SIFONTES","SAN ISIDRO","parroquia","VE070903",2000,573,162
"Venezuela","Bolivar/GRAN SABANA","SECCION CAPITAL GRAN SABANA","parroquia","VE070401",2000,122,19
"Venezuela","Bolivar/GRAN SABANA","IKABARU","parroquia","VE070402",2000,348,38
"Venezuela","Bolivar/CARONI","ONCE DE ABRIL","parroquia","VE070104",2001,0,0
"Venezuela","Bolivar/PADRE PEDRO CHIEN","C. P. P. CHIEN","parroquia","VE071101",2001,0,0
"Venezuela","Bolivar/CARONI","SIMON BOLIVAR","parroquia","VE070105",2001,0,0
"Venezuela","Bolivar/CARONI","VISTA AL SOL","parroquia","VE070108",2001,0,0
"Venezuela","Bolivar/CARONI","YOCOIMA","parroquia","VE070110",2001,0,0
"Venezuela","Bolivar/PIAR","SECCION CAPITAL PIAR","parroquia","VE070601",2001,0,0
"Venezuela","Bolivar/CARONI","CHIRICA","parroquia","VE070102",2001,0,0
"Venezuela","Bolivar/CARONI","DALLA COSTA","parroquia","VE070103",2001,0,0
"Venezuela","Bolivar/CARONI","UNARE","parroquia","VE070106",2001,0,0
"Venezuela","Bolivar/HERES","PANAPANA","parroquia","VE070508",2001,0,0
"Venezuela","Bolivar/CARONI","CACHAMAY","parroquia","VE070101",2001,0,0
"Venezuela","Bolivar/CARONI","UNIVERSIDAD","parroquia","VE070107",2001,0,0
"Venezuela","Bolivar/CARONI","POZO VERDE","parroquia","VE070109",2001,0,0
"Venezuela","Bolivar/HERES","MARHUANTA","parroquia","VE070505",2001,0,0
"Venezuela","Bolivar/HERES","ORINOCO","parroquia","VE070507",2001,0,0
"Venezuela","Bolivar/HERES","CATEDRAL","parroquia","VE070502",2001,0,0
"Venezuela","Bolivar/HERES","AGUA SALADA","parroquia","VE070501",2001,0,0
"Venezuela","Bolivar/HERES","LA SABANITA","parroquia","VE070504",2001,0,0
"Venezuela","Bolivar/HERES","VISTA HERMOSA","parroquia","VE070506",2001,0,0
"Venezuela","Bolivar/SUCRE","MOITACO","parroquia","VE071005",2001,0,0
"Venezuela","Bolivar/HERES","JOSE ANTONIO PAEZ","parroquia","VE070503",2001,0,0
"Venezuela","Bolivar/PIAR","A. E. BLANCO","parroquia","VE070602",2001,0,0
"Venezuela","Bolivar/HERES","ZEA","parroquia","VE070509",2001,0,0
